title,year,conf,field,pseudo_datasets,real_datasets,time_series,interv_setting,synthetic,pseudo_real,real,interventions,small,medium,big,synth_structural,synth_observational,synth_interventional,synth_qualitative,real_structural,real_observational,real_interventional,real_qualitative,included
Robustness of Algorithms for Causal Structure Learning to Hyperparameter Choice,2023,CLeaR,bio,Syntren,Sachs,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Variance Minimization in the Wasserstein Space for Invariant Causal Prediction,2021,AISTATS,,,,0,1,1,0,0,,,,,1,0,0,0,,,,,1
Near-Optimal Multi-Perturbation Experimental Design for Causal Structure Learning,2021,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Efficient Neural Causal Discovery without Acyclicity Constraints,2021,ICLR,,bnlearn,,0,1,1,1,0,,,,,1,0,0,0,,,,,1
Beyond the Markov Equivalence Class: Extending Causal Discovery under Latent Confounding,2023,CLeaR,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
DAGs with No Curl: An Efficient DAG Structure Learning Approach,2021,ICML,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Learning Causal Dynamics Models in Object-Oriented Environments,2024,ICML,,,,,,,,,,,,,,,,,,,,,0
Connectivity-contrastive learning: Combining causal discovery and representation learning for multimodal data,2023,AISTATS,,SERGIO,,0,0,1,1,0,,,,,1,0,0,0,,,,,1
Causal Representation Learning for Instantaneous and Temporal Effects in Interactive Systems,2022,ICLR,,,,,,,,,,,,,,,,,,,,,0
BCD Nets: Scalable Variational Approaches for Bayesian Causal Discovery,2021,NeurIPS,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1
Trust Your 𝛁: Gradient-based Intervention Targeting for Causal Discovery,2023,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Boosting Causal Discovery via Adaptive Sample Reweighting,2023,ICLR,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
CUTS: Neural Causal Discovery from Irregular Time-Series Data,2023,ICLR,,Smith-fmri,,1,0,1,1,0,,,,,1,0,0,0,,,,,1
Score matching enables causal discovery of nonlinear additive noise models,2022,ICML,,Syntren,Sachs,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Causal de Finetti: On the Identification of Invariant Causal Structure in Exchangeable Data,2022,NeurIPS,,,,0,1,1,0,0,,,,,1,0,0,0,,,,,1
Causal Discovery from Subsampled Time Series with Proxy Variables,2023,NeurIPS,health,,,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
Scalable Intervention Target Estimation in Linear Models,2021,NeurIPS,bio,,"Sachs,Dixit",0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1
Self-Compatibility: Evaluating Causal Discovery without Ground Truth,2023,AISTATS,,,,,,,,,,,,,,,,,,,,,0
Bivariate Causal Discovery via Conditional Divergence,2022,CLeaR,,DREAM,,0,0,1,1,0,,,,,1,0,0,0,,,,,1
Global Optimality in Bivariate Gradient-based DAG Learning,2023,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Cause-Effect Inference in Location-Scale Noise Models: Maximum Likelihood vs. Independence Testing,2023,NeurIPS,,,Tubingen,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Testing Independence Between Linear Combinations for Causal Discovery,2021,AAAI,bio,bnlearn,,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
On the Identifiability of Switching Dynamical Systems,2023,ICML,,,,,,,,,,,,,,,,,,,,,0
Causal Discovery with Mixed Linear and Nonlinear Additive Noise Models: A Scalable Approach,2024,CLeaR,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
